最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
6863.95,-0.07,100023248.0,137968599507.8,6988.4,6858.02,6882.15,000914,300金融,上证系列指数
5816.97,-0.08,58550287.0,74973354272.0,5959.23,5816.97,5842.43,000076,金融等权,上证系列指数
1610.09,-0.08,6093958.0,6196891200.0,1624.39,1608.44,1610.84,000122,农业主题,上证系列指数
5538.04,-0.11,93920439.0,92197299868.0,5593.06,5532.01,5538.04,000922,中证红利,上证系列指数
7438.68,-0.11,327640881.0,565058625663.1,7477.2,7380.83,7449.86,000852,中证1000,上证系列指数
1853.28,-0.11,51483410.0,39379147675.0,1878.53,1852.26,1857.56,000025,180基建,上证系列指数
6448.71,-0.12,148725680.0,182356139702.5,6561.08,6443.19,6471.55,000934,中证金融,上证系列指数
7221.44,-0.12,135401330.0,167870459864.0,7349.86,7214.98,7243.84,000974,800金融,上证系列指数
1993.85,-0.13,140601822.0,178831011652.0,2017.15,1989.8,1996.17,000927,央企100,上证系列指数
1218.09,-0.13,104011555.0,151601731573.0,1226.27,1210.26,1217.25,000860,结构调整,上证系列指数
3433.27,-0.13,71166302.0,68662840656.0,3477.65,3422.15,3447.26,000825,央企红利,上证系列指数
10146.8,-0.13,69469664.0,157412128786.0,10251.05,10018.35,10115.45,000994,全指通信,上证系列指数
2834.15,-0.15,95395417.0,432710242824.0,2847.67,2785.8,2829.02,000998,中证TMT,上证系列指数
6158.57,-0.15,172264855.0,201188861217.0,6264.93,6153.95,6183.04,000992,全指金融,上证系列指数
3261.04,-0.19,190492686.0,284271913341.0,3310.14,3259.37,3269.98,000031,180R价值,上证系列指数
3652.05,-0.19,144155256.0,350755170128.0,3657.68,3603.07,3631.17,000095,上证中游,上证系列指数
15260.7,-0.19,159536119.0,167376345603.0,15494.11,15260.7,15323.95,000129,180波动,上证系列指数
2432.37,-0.2,30451607.0,20749965092.0,2464.35,2425.04,2442.42,000079,公用等权,上证系列指数
5931.04,-0.2,60119500.0,76067186965.0,6060.47,5931.04,5954.82,000038,上证金融,上证系列指数
1814.16,-0.2,104354641.0,136037654118.0,1838.02,1811.1,1816.1,000042,上证央企,上证系列指数
1384.39,-0.21,13283720.0,66787477468.0,1389.19,1356.97,1386.08,000698,科创100,上证系列指数
2133.34,-0.22,89782323.0,81423888234.0,2157.32,2131.24,2136.58,000824,国企红利,上证系列指数
4033.78,-0.22,18247693.0,31157094426.0,4045.71,4014.86,4043.99,000040,上证电信,上证系列指数
4693.72,-0.22,74317711.0,49351749152.6,4754.48,4690.38,4706.78,000007,公用指数,上证系列指数
2565.95,-0.25,35074547.0,134391966099.0,2580.59,2545.92,2547.1,000043,超大盘,上证系列指数
2701.88,-0.25,15742889.0,14445212629.5,2745.17,2697.91,2709.2,000928,中证能源,上证系列指数
4637.61,-0.26,183300388.0,176856230109.0,4720.89,4637.61,4656.96,000058,全指价值,上证系列指数
7961.23,-0.26,36282817.0,40149148201.0,8038.46,7948.61,8016.25,000138,380低贝,上证系列指数
5947.64,-0.27,70085542.0,86700516047.0,6074.63,5947.64,5973.57,000018,180金融,上证系列指数
2571.23,-0.27,39690189.0,26191072707.0,2606.95,2567.85,2581.76,000995,全指公用,上证系列指数
416.71,-0.27,28851771.0,49152127424.0,421.08,416.44,418.19,000139,上证转债,上证系列指数
2485.7,-0.27,36790046.0,23710577461.0,2522.46,2482.21,2495.17,000937,800公用,上证系列指数
2171.38,-0.3,22103447.0,17846870238.0,2202.22,2168.59,2177.47,000986,全指能源,上证系列指数
4008.91,-0.31,11581807.0,8697428446.0,4059.44,4001.11,4017.79,000820,煤炭指数,上证系列指数
2158.57,-0.31,8186987.0,10399134579.0,2196.85,2156.31,2166.8,000908,300能源,上证系列指数
2503.93,-0.33,30451607.0,20749965092.0,2542.58,2500.45,2516.29,000041,上证公用,上证系列指数
1824.02,-0.33,17017813.0,14491448306.0,1853.88,1821.78,1830.42,000032,上证能源,上证系列指数
3105.2,-0.34,8136274.0,6990529002.0,3123.74,3098.91,3117.6,000153,上民红利,上证系列指数
